Culture,k,n_total,n_honest,n_manip,trials,Target,Rule,Change_Rate,Avg_Overlap,Success_Rate
Impartial Anonymous Culture (IAC),4,100,80,20,2000,Cutoff,k-Median-Shapley,64.60000000000001,0.8385,64.60000000000001
Impartial Anonymous Culture (IAC),4,100,80,20,2000,Bottom,Evaluative Voting,96.7,0.75825,96.7
Impartial Anonymous Culture (IAC),4,100,80,20,2000,Bottom,k-Median Rule,78.2,0.8045,78.2
Impartial Anonymous Culture (IAC),4,100,80,20,2000,Bottom,k-Median-Shapley,64.60000000000001,0.8385,64.60000000000001
Polya Urn (alpha=0.2),1,100,80,20,2000,Cutoff,Evaluative Voting,95.7,0.043,95.7
Polya Urn (alpha=0.2),1,100,80,20,2000,Cutoff,k-Median Rule,66.45,0.3355,66.45
Polya Urn (alpha=0.2),1,100,80,20,2000,Cutoff,k-Median-Shapley,52.75,0.4725,46.1
Polya Urn (alpha=0.2),1,100,80,20,2000,Bottom,Evaluative Voting,25.05,0.7495,25.05
Polya Urn (alpha=0.2),1,100,80,20,2000,Bottom,k-Median Rule,47.3,0.527,17.849999999999998
Polya Urn (alpha=0.2),1,100,80,20,2000,Bottom,k-Median-Shapley,35.949999999999996,0.6405,7.85
Polya Urn (alpha=0.2),2,100,80,20,2000,Cutoff,Evaluative Voting,97.89999999999999,0.5105,97.89999999999999
Polya Urn (alpha=0.2),2,100,80,20,2000,Cutoff,k-Median Rule,79.0,0.57975,79.0
Polya Urn (alpha=0.2),2,100,80,20,2000,Cutoff,k-Median-Shapley,64.7,0.657,58.95
Polya Urn (alpha=0.2),2,100,80,20,2000,Bottom,Evaluative Voting,56.2,0.719,56.2
Polya Urn (alpha=0.2),2,100,80,20,2000,Bottom,k-Median Rule,65.14999999999999,0.6435,36.3
Polya Urn (alpha=0.2),2,100,80,20,2000,Bottom,k-Median-Shapley,48.449999999999996,0.7375,18.05
Polya Urn (alpha=0.2),3,100,80,20,2000,Cutoff,Evaluative Voting,97.65,0.6745000000000068,97.65
Polya Urn (alpha=0.2),3,100,80,20,2000,Cutoff,k-Median Rule,78.7,0.7190000000000085,78.7
Polya Urn (alpha=0.2),3,100,80,20,2000,Cutoff,k-Median-Shapley,68.2,0.7545000000000078,64.4
Polya Urn (alpha=0.2),3,100,80,20,2000,Bottom,Evaluative Voting,81.0,0.7300000000000103,81.0
Polya Urn (alpha=0.2),3,100,80,20,2000,Bottom,k-Median Rule,71.2,0.7308333333333396,53.900000000000006
Polya Urn (alpha=0.2),3,100,80,20,2000,Bottom,k-Median-Shapley,56.45,0.7903333333333414,37.35
Polya Urn (alpha=0.2),4,100,80,20,2000,Cutoff,Evaluative Voting,94.69999999999999,0.76325,94.69999999999999
Polya Urn (alpha=0.2),4,100,80,20,2000,Cutoff,k-Median Rule,77.0,0.8075,77.0
Polya Urn (alpha=0.2),4,100,80,20,2000,Cutoff,k-Median-Shapley,64.64999999999999,0.838375,64.64999999999999
Polya Urn (alpha=0.2),4,100,80,20,2000,Bottom,Evaluative Voting,94.69999999999999,0.76325,94.69999999999999
Polya Urn (alpha=0.2),4,100,80,20,2000,Bottom,k-Median Rule,77.0,0.8075,77.0
Polya Urn (alpha=0.2),4,100,80,20,2000,Bottom,k-Median-Shapley,64.64999999999999,0.838375,64.64999999999999
Impartial Culture (IC),1,100,80,20,2000,Cutoff,Evaluative Voting,100.0,0.0,100.0
Impartial Culture (IC),1,100,80,20,2000,Cutoff,k-Median Rule,98.35000000000001,0.0165,98.35000000000001
Impartial Culture (IC),1,100,80,20,2000,Cutoff,k-Median-Shapley,94.15,0.0585,93.95
Impartial Culture (IC),1,100,80,20,2000,Bottom,Evaluative Voting,100.0,0.0,100.0
Impartial Culture (IC),1,100,80,20,2000,Bottom,k-Median Rule,96.3,0.037,94.19999999999999
Impartial Culture (IC),1,100,80,20,2000,Bottom,k-Median-Shapley,78.7,0.213,68.85
Impartial Culture (IC),2,100,80,20,2000,Cutoff,Evaluative Voting,100.0,0.5,100.0
Impartial Culture (IC),2,100,80,20,2000,Cutoff,k-Median Rule,99.75,0.40825,99.75
Impartial Culture (IC),2,100,80,20,2000,Cutoff,k-Median-Shapley,98.45,0.454,98.1
Impartial Culture (IC),2,100,80,20,2000,Bottom,Evaluative Voting,100.0,0.5,100.0
Impartial Culture (IC),2,100,80,20,2000,Bottom,k-Median Rule,98.7,0.37875,97.05
Impartial Culture (IC),2,100,80,20,2000,Bottom,k-Median-Shapley,93.25,0.44625,87.3
Impartial Culture (IC),3,100,80,20,2000,Cutoff,Evaluative Voting,100.0,0.6666666666666725,100.0
Impartial Culture (IC),3,100,80,20,2000,Cutoff,k-Median Rule,99.55000000000001,0.614333333333333,99.55000000000001
Impartial Culture (IC),3,100,80,20,2000,Cutoff,k-Median-Shapley,99.05000000000001,0.6351666666666677,99.05000000000001
Impartial Culture (IC),3,100,80,20,2000,Bottom,Evaluative Voting,100.0,0.6666666666666725,100.0
Impartial Culture (IC),3,100,80,20,2000,Bottom,k-Median Rule,99.25,0.5788333333333302,98.2
Impartial Culture (IC),3,100,80,20,2000,Bottom,k-Median-Shapley,96.5,0.6155000000000002,95.0
Impartial Culture (IC),4,100,80,20,2000,Cutoff,Evaluative Voting,100.0,0.75,100.0
Impartial Culture (IC),4,100,80,20,2000,Cutoff,k-Median Rule,99.3,0.75175,99.3
Impartial Culture (IC),4,100,80,20,2000,Cutoff,k-Median-Shapley,98.4,0.754,98.4
Impartial Culture (IC),4,100,80,20,2000,Bottom,Evaluative Voting,100.0,0.75,100.0
Impartial Culture (IC),4,100,80,20,2000,Bottom,k-Median Rule,99.3,0.75175,99.3
Impartial Culture (IC),4,100,80,20,2000,Bottom,k-Median-Shapley,98.4,0.754,98.4
