Culture,k,n_total,n_honest,n_manip,manip_pct,trials,Target,Rule,Change_Rate,Success_Rate,Avg_Overlap
Mallows (phi=0.7),3,100,94,6,6,1000,Bottom,Evaluative Voting,1.7000000000000002,1.7000000000000002,0.9943333333333332
Mallows (phi=0.7),3,100,94,6,6,1000,Bottom,k-Median Rule,3.0,0.8,0.9899999999999997
Mallows (phi=0.7),3,100,94,6,6,1000,Bottom,k-Median-Shapley,4.5,0.4,0.9849999999999993
Mallows (phi=0.7),4,100,94,6,6,1000,Cutoff,Evaluative Voting,33.800000000000004,33.800000000000004,0.9155
Mallows (phi=0.7),4,100,94,6,6,1000,Cutoff,k-Median Rule,4.9,4.9,0.98775
Mallows (phi=0.7),4,100,94,6,6,1000,Cutoff,k-Median-Shapley,6.4,6.4,0.984
Mallows (phi=0.7),4,100,94,6,6,1000,Bottom,Evaluative Voting,33.800000000000004,33.800000000000004,0.9155
Mallows (phi=0.7),4,100,94,6,6,1000,Bottom,k-Median Rule,4.9,4.9,0.98775
Mallows (phi=0.7),4,100,94,6,6,1000,Bottom,k-Median-Shapley,6.4,6.4,0.984
Mallows (phi=0.7),2,100,93,7,7,1000,Cutoff,Evaluative Voting,47.8,47.8,0.761
Mallows (phi=0.7),2,100,93,7,7,1000,Cutoff,k-Median Rule,4.6,4.6,0.977
Mallows (phi=0.7),2,100,93,7,7,1000,Cutoff,k-Median-Shapley,8.1,8.1,0.9595
Mallows (phi=0.7),2,100,93,7,7,1000,Bottom,Evaluative Voting,0.0,0.0,1.0
Mallows (phi=0.7),2,100,93,7,7,1000,Bottom,k-Median Rule,0.5,0.0,0.9975
Mallows (phi=0.7),2,100,93,7,7,1000,Bottom,k-Median-Shapley,6.2,0.0,0.969
Mallows (phi=0.7),3,100,93,7,7,1000,Cutoff,Evaluative Voting,47.599999999999994,47.599999999999994,0.8413333333333277
Mallows (phi=0.7),3,100,93,7,7,1000,Cutoff,k-Median Rule,7.3,7.3,0.9756666666666656
Mallows (phi=0.7),3,100,93,7,7,1000,Cutoff,k-Median-Shapley,13.4,13.4,0.9553333333333311
Mallows (phi=0.7),3,100,93,7,7,1000,Bottom,Evaluative Voting,3.2,3.2,0.9893333333333331
