Culture,k,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Impartial Culture (IC),4,Evaluative Voting,28.1,52.6,70.0,81.1,90.4,95.0,96.8,98.5,99.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Impartial Culture (IC),4,k-Median Rule,11.5,22.2,33.9,43.6,52.1,58.7,65.5,71.2,76.6,81.1,85.1,87.7,90.3,93.1,95.1,97.4,98.0,99.1,99.2,99.6,99.8,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Impartial Culture (IC),4,k-Median-Shapley,23.1,31.3,44.4,49.2,56.2,61.5,66.2,70.7,75.7,79.2,82.2,85.8,88.7,91.3,92.9,95.2,96.4,96.7,97.6,97.9,98.7,99.1,99.7,99.8,99.8,99.8,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mallows (phi=0.7),2,Evaluative Voting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.8,1.6,3.1,5.7,9.3,13.5,21.7,29.6,40.0,52.0,63.2,73.6,84.6,91.5,96.1,98.2,99.4,99.7,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mallows (phi=0.7),2,k-Median Rule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.3,0.4,1.2,2.3,3.3,4.5,6.5,10.4,15.1,21.0,26.9,33.9,42.0,50.9,60.9,71.0,80.4,87.4,92.3,96.2,98.5,99.4,99.8,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mallows (phi=0.7),2,k-Median-Shapley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.3,0.5,0.5,1.2,1.5,2.9,3.9,6.6,10.5,15.2,20.3,26.0,31.6,37.9,48.5,58.8,68.4,79.4,88.1,94.9,98.2,99.8,99.9,100.0,100.0,100.0,100.0
Mallows (phi=0.7),3,Evaluative Voting,0.0,0.1,0.1,0.4,0.9,1.7,3.2,5.8,10.4,14.3,19.9,26.9,36.5,45.8,56.5,66.5,76.0,83.4,89.1,94.1,97.3,98.7,99.4,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mallows (phi=0.7),3,k-Median Rule,0.0,0.1,0.1,0.5,0.6,0.8,1.2,1.5,2.1,3.7,4.8,7.1,9.3,12.1,15.5,19.2,24.6,31.0,38.0,45.0,51.5,58.2,64.5,70.2,78.1,83.7,88.7,93.3,95.3,96.7,97.7,98.7,98.9,99.3,99.7,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mallows (phi=0.7),3,k-Median-Shapley,0.0,0.1,0.1,0.2,0.3,0.4,0.8,0.6,0.9,1.3,2.1,2.3,3.5,4.5,5.5,6.5,7.8,9.7,9.5,10.8,11.7,11.8,11.9,13.7,13.3,14.6,15.5,16.5,19.4,23.0,29.6,35.7,44.2,55.3,64.0,72.8,80.1,85.9,90.9,93.9,97.4,99.1,99.8,100.0,100.0,100.0,100.0,100.0,100.0
Mallows (phi=0.7),4,Evaluative Voting,4.6,9.7,13.1,18.8,25.9,33.8,41.8,50.0,59.1,67.7,75.0,82.0,87.5,92.2,95.6,97.3,99.0,99.5,99.7,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
