Culture,k,Rule,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Mallows (phi=0.7),2,k-Median-Shapley,2.3,3.5,3.5,4.5,5.6,6.5,6.2,7.3,7.6,8.0,8.0,8.0,7.5,7.6,7.0,7.1,7.2,6.8,6.7,7.2,7.8,9.0,8.4,8.8,9.8,10.4,12.0,12.4,14.1,16.3,21.2,23.8,29.8,34.6,39.2,44.7,53.9,63.1,72.3,82.9,90.2,95.9,98.5,99.8,99.9,100.0,100.0,100.0,100.0
Mallows (phi=0.7),3,Evaluative Voting,0.0,0.1,0.1,0.4,0.9,1.7,3.2,5.8,10.4,14.3,19.9,26.9,36.5,45.8,56.5,66.5,76.0,83.4,89.1,94.1,97.3,98.7,99.4,99.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mallows (phi=0.7),3,k-Median Rule,0.4,0.4,1.4,2.0,2.6,3.0,3.8,4.5,4.8,7.0,8.3,10.4,12.3,15.4,17.9,21.6,26.2,32.4,38.7,45.5,51.9,58.6,64.7,70.4,78.2,83.8,88.7,93.3,95.3,96.7,97.7,98.7,98.9,99.4,99.7,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mallows (phi=0.7),3,k-Median-Shapley,1.8,2.1,4.2,3.9,4.7,4.5,5.8,6.4,5.7,6.6,7.5,8.2,9.5,9.7,11.6,12.1,13.2,15.3,15.4,15.5,17.1,18.0,18.7,20.6,20.5,22.3,22.5,24.0,26.9,29.2,35.4,40.7,48.3,59.0,66.1,74.0,81.1,86.4,91.1,94.0,97.4,99.1,99.8,100.0,100.0,100.0,100.0,100.0,100.0
Mallows (phi=0.7),4,Evaluative Voting,4.6,9.7,13.1,18.8,25.9,33.8,41.8,50.0,59.1,67.7,75.0,82.0,87.5,92.2,95.6,97.3,99.0,99.5,99.7,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mallows (phi=0.7),4,k-Median Rule,0.2,0.7,1.6,2.5,3.6,4.9,6.6,8.0,10.5,13.6,17.1,20.8,24.8,29.0,33.6,37.7,43.1,48.5,54.2,60.6,65.6,71.3,75.6,79.6,84.6,88.7,92.6,95.5,97.2,97.9,98.4,99.1,99.3,99.8,99.9,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Mallows (phi=0.7),4,k-Median-Shapley,1.8,2.7,3.4,3.7,5.3,6.4,7.9,8.5,10.7,12.7,15.2,17.5,21.1,23.3,25.7,30.2,35.6,39.4,43.4,48.2,52.4,60.1,62.3,65.0,66.1,67.2,70.6,69.9,71.6,74.4,78.1,82.4,87.7,91.7,96.0,97.2,99.1,99.6,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Plackett-Luce,2,Evaluative Voting,0.0,0.0,0.1,0.4,0.5,0.5,1.1,1.5,2.5,3.3,4.3,6.3,8.7,11.2,13.3,16.0,19.6,23.3,26.1,29.2,34.0,38.5,42.8,47.0,51.6,57.0,61.7,66.8,71.4,75.7,79.6,84.4,87.2,90.5,92.6,95.1,96.8,98.2,99.3,99.7,99.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Plackett-Luce,2,k-Median Rule,6.7,7.2,12.4,13.5,19.4,19.6,24.4,25.4,28.6,30.5,33.4,34.3,38.1,38.4,42.0,42.0,43.7,43.6,44.6,46.8,48.4,49.4,51.2,51.6,52.8,55.7,57.7,57.3,59.8,62.9,64.4,67.8,70.6,73.8,77.0,80.8,83.4,86.5,89.7,91.2,93.9,96.1,97.0,97.5,97.9,99.2,99.5,99.9,100.0
Plackett-Luce,2,k-Median-Shapley,6.5,8.2,10.6,11.3,14.0,14.3,15.7,15.8,16.0,15.7,16.8,17.9,17.0,17.9,17.8,17.4,18.5,19.2,20.0,21.2,18.2,19.0,18.7,19.3,19.3,21.5,21.5,22.5,24.7,26.7,28.9,30.9,31.9,34.1,37.6,40.3,44.0,46.2,50.3,55.9,62.2,67.1,74.6,79.4,84.7,89.5,94.5,97.1,99.3
